"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264"
"a",0,8,10,18,12,0,0,0,0,0,0,0,9,16,55,17,0,0,0,0,0,0,0,9,15,47,18,0,0,0,0,0,0,0,9,18,62,21,0,0,0,0,0,0,0,19,109,114,24,0,0,0,0,0,0,0,14,104,99,18,0,0,0,0,0,0,0,12,52,57,16,0,0,0,0,0,0,0,10,34,40,14,0,0,0,0,0,0,0,10,25,33,12,0,0,0,0,0,0,0,10,24,31,13,0,0,0,0,0,0,0,10,22,31,15,0,0,0,0,0,0,0,9,22,35,14,0,0,0,0,0,0,0,10,20,40,18,0,0,0,0,0,0,0,9,21,51,21,0,0,0,0,0,0,0,12,42,185,59,0,0,0,0,0,0,0,11,38,191,59,0,0,0,0,0,0,0,9,26,107,35,0,0,0,0,0,0,0,11,20,69,24,0,0,0,0,0,0,0,10,19,55,20,0,0,0,0,0,0,0,9,18,46,20,0,0,0,0,0,0,0,9,16,43,19,0,0,0,0,0,0,0,9,15,43,19,0,0,0,0,0,0,0,9,17,41,20,0,0,0,0,0,0,0,11,18,49,21,0,0,0,0,0,0
"a.1",0,0,0,0,16,41,18,10,0,0,0,0,0,0,0,17,41,17,9,0,0,0,0,0,0,0,13,34,16,11,0,0,0,0,0,0,0,18,54,29,12,0,0,0,0,0,0,0,19,91,46,11,0,0,0,0,0,0,0,13,66,35,9,0,0,0,0,0,0,0,11,48,29,11,0,0,0,0,0,0,0,15,47,32,8,0,0,0,0,0,0,0,12,38,25,10,0,0,0,0,0,0,0,11,32,20,11,0,0,0,0,0,0,0,12,30,20,11,0,0,0,0,0,0,0,13,25,18,9,0,0,0,0,0,0,0,10,28,19,11,0,0,0,0,0,0,0,13,25,24,11,0,0,0,0,0,0,0,12,25,26,10,0,0,0,0,0,0,0,11,23,27,12,0,0,0,0,0,0,0,10,22,19,12,0,0,0,0,0,0,0,11,21,17,10,0,0,0,0,0,0,0,8,17,19,7,0,0,0,0,0,0,0,11,17,19,12,0,0,0,0,0,0,0,11,21,25,12,0,0,0,0,0,0,0,11,32,48,14,0,0,0,0,0,0,0,11,25,38,14,0,0,0,0,0,0,0,10,20,26,11,0,0,0
"a.2",0,0,0,0,0,11,27,18,11,11,0,0,0,0,0,0,13,49,33,12,8,0,0,0,0,0,0,21,145,181,26,12,0,0,0,0,0,0,13,115,159,19,9,0,0,0,0,0,0,16,96,160,21,11,0,0,0,0,0,0,20,157,341,45,14,0,0,0,0,0,0,20,153,403,54,15,0,0,0,0,0,0,13,104,302,40,10,0,0,0,0,0,0,12,66,177,29,9,0,0,0,0,0,0,10,51,130,22,8,0,0,0,0,0,0,10,46,128,27,12,0,0,0,0,0,0,12,39,113,25,9,0,0,0,0,0,0,10,34,92,25,10,0,0,0,0,0,0,10,33,81,23,10,0,0,0,0,0,0,10,29,74,27,9,0,0,0,0,0,0,9,29,67,25,9,0,0,0,0,0,0,8,24,61,34,12,0,0,0,0,0,0,10,24,59,36,11,0,0,0,0,0,0,13,26,94,155,22,0,0,0,0,0,0,10,23,93,196,35,0,0,0,0,0,0,10,22,67,114,24,0,0,0,0,0,0,11,22,50,68,18,0,0,0,0,0,0,8,20,42,52,15,0,0,0,0,0,0,10,19,39,49,16,0
"a.3",0,0,0,9,13,8,9,9,0,0,0,0,0,0,17,74,54,11,11,0,0,0,0,0,0,13,75,59,11,8,0,0,0,0,0,0,13,45,35,11,7,0,0,0,0,0,0,12,53,66,15,10,0,0,0,0,0,0,10,49,72,12,9,0,0,0,0,0,0,11,35,54,11,8,0,0,0,0,0,0,9,31,45,11,10,0,0,0,0,0,0,11,23,40,9,9,0,0,0,0,0,0,11,24,41,12,10,0,0,0,0,0,0,11,22,38,10,10,0,0,0,0,0,0,11,22,50,14,9,0,0,0,0,0,0,10,24,67,22,10,0,0,0,0,0,0,11,19,62,20,10,0,0,0,0,0,0,11,20,45,18,11,0,0,0,0,0,0,8,18,35,16,9,0,0,0,0,0,0,10,19,51,29,10,0,0,0,0,0,0,10,16,40,24,10,0,0,0,0,0,0,11,14,30,21,9,0,0,0,0,0,0,11,13,31,25,9,0,0,0,0,0,0,10,17,44,55,18,0,0,0,0,0,0,9,18,103,194,27,0,0,0,0,0,0,10,16,86,177,21,0,0,0,0,0,0,11,15,47,89,14,0,0,0
"a.4",0,0,0,0,0,10,8,10,0,0,0,0,0,0,0,0,10,9,10,0,0,0,0,0,0,0,0,11,10,10,0,0,0,0,0,0,0,0,11,10,10,0,0,0,0,0,0,0,0,11,12,12,0,0,0,0,0,0,0,0,18,14,11,0,0,0,0,0,0,0,0,13,13,12,0,0,0,0,0,0,0,0,12,11,10,0,0,0,0,0,0,0,0,11,6,9,0,0,0,0,0,0,0,0,9,8,9,0,0,0,0,0,0,0,0,10,10,8,0,0,0,0,0,0,0,0,10,10,9,0,0,0,0,0,0,0,0,12,9,11,0,0,0,0,0,0,0,0,11,10,10,0,0,0,0,0,0,0,0,17,13,10,0,0,0,0,0,0,0,0,32,22,10,0,0,0,0,0,0,0,0,20,17,8,0,0,0,0,0,0,0,0,14,11,9,0,0,0,0,0,0,0,0,27,35,10,0,0,0,0,0,0,0,0,82,150,23,0,0,0,0,0,0,0,0,73,152,22,0,0,0,0,0,0,0,0,93,258,34,0,0,0,0,0,0,0,0,77,223,33,0,0,0,0,0,0,0,0,77,278,42,0,0,0
"a.5",0,0,0,11,13,11,10,0,0,0,0,0,0,0,16,66,43,11,0,0,0,0,0,0,0,29,210,96,17,0,0,0,0,0,0,0,27,206,113,18,0,0,0,0,0,0,0,22,172,112,14,0,0,0,0,0,0,0,15,99,64,15,0,0,0,0,0,0,0,14,71,46,11,0,0,0,0,0,0,0,14,68,49,11,0,0,0,0,0,0,0,11,59,43,10,0,0,0,0,0,0,0,25,184,175,22,0,0,0,0,0,0,0,15,147,141,17,0,0,0,0,0,0,0,16,86,77,14,0,0,0,0,0,0,0,13,62,52,13,0,0,0,0,0,0,0,12,54,46,12,0,0,0,0,0,0,0,12,50,48,13,0,0,0,0,0,0,0,13,58,60,15,0,0,0,0,0,0,0,12,59,68,13,0,0,0,0,0,0,0,12,54,61,13,0,0,0,0,0,0,0,15,60,80,19,0,0,0,0,0,0,0,14,76,118,20,0,0,0,0,0,0,0,12,60,88,16,0,0,0,0,0,0,0,11,45,57,14,0,0,0,0,0,0,0,11,37,44,13,0,0,0,0,0,0,0,12,33,36,12,0,0,0,0
"a.6",0,0,0,0,23,41,13,9,0,0,0,0,0,0,0,29,55,14,8,0,0,0,0,0,0,0,28,58,14,13,0,0,0,0,0,0,0,35,94,23,11,0,0,0,0,0,0,0,30,76,16,11,0,0,0,0,0,0,0,23,57,16,10,0,0,0,0,0,0,0,24,71,17,11,0,0,0,0,0,0,0,23,60,19,10,0,0,0,0,0,0,0,18,42,15,11,0,0,0,0,0,0,0,19,45,16,12,0,0,0,0,0,0,0,21,66,20,9,0,0,0,0,0,0,0,20,56,19,10,0,0,0,0,0,0,0,18,49,20,11,0,0,0,0,0,0,0,19,52,22,12,0,0,0,0,0,0,0,22,102,40,14,0,0,0,0,0,0,0,23,109,44,11,0,0,0,0,0,0,0,20,75,31,12,0,0,0,0,0,0,0,18,54,24,12,0,0,0,0,0,0,0,16,60,29,12,0,0,0,0,0,0,0,18,72,41,12,0,0,0,0,0,0,0,23,148,94,17,0,0,0,0,0,0,0,20,108,69,13,0,0,0,0,0,0,0,20,95,66,16,0,0,0,0,0,0,0,18,93,66,14,0,0,0
"a.7",0,0,0,0,0,11,8,9,0,0,0,0,0,0,0,0,12,57,27,0,0,0,0,0,0,0,0,14,64,30,0,0,0,0,0,0,0,0,12,48,23,0,0,0,0,0,0,0,0,11,34,20,0,0,0,0,0,0,0,0,11,26,18,0,0,0,0,0,0,0,0,12,39,25,0,0,0,0,0,0,0,0,10,44,27,0,0,0,0,0,0,0,0,11,47,28,0,0,0,0,0,0,0,0,13,37,24,0,0,0,0,0,0,0,0,10,32,20,0,0,0,0,0,0,0,0,11,30,19,0,0,0,0,0,0,0,0,13,30,20,0,0,0,0,0,0,0,0,11,24,17,0,0,0,0,0,0,0,0,10,21,15,0,0,0,0,0,0,0,0,10,19,16,0,0,0,0,0,0,0,0,11,16,12,0,0,0,0,0,0,0,0,11,18,14,0,0,0,0,0,0,0,0,9,18,12,0,0,0,0,0,0,0,0,9,18,14,0,0,0,0,0,0,0,0,9,17,13,0,0,0,0,0,0,0,0,11,16,13,0,0,0,0,0,0,0,0,11,14,12,0,0,0,0,0,0,0,0,9,15,12,0,0,0
"a.8",0,0,11,11,11,10,0,0,0,0,9,0,0,27,49,12,12,0,0,0,0,11,0,0,23,35,11,10,0,0,0,0,7,0,0,22,46,14,11,0,0,0,0,12,0,0,30,80,20,10,0,0,0,0,8,0,0,24,61,16,9,0,0,0,0,11,0,0,16,37,14,10,0,0,0,0,10,0,0,16,32,12,11,0,0,0,0,9,0,0,18,39,15,12,0,0,0,0,9,0,0,31,130,40,13,0,0,0,0,12,0,0,31,145,43,12,0,0,0,0,10,0,0,22,82,25,10,0,0,0,0,9,0,0,19,55,23,11,0,0,0,0,11,0,0,16,48,21,8,0,0,0,0,9,0,0,16,44,22,12,0,0,0,0,10,0,0,16,51,25,11,0,0,0,0,9,0,0,14,52,31,13,0,0,0,0,9,0,0,15,62,41,11,0,0,0,0,8,0,0,15,57,43,12,0,0,0,0,9,0,0,14,40,29,9,0,0,0,0,9,0,0,12,41,30,14,0,0,0,0,10,0,0,14,41,36,11,0,0,0,0,10,0,0,14,57,69,14,0,0,0,0,43,0,0,14,54,68,16,0,0,0,0,47
"a.9",0,0,0,0,31,41,13,9,0,0,0,0,0,0,0,51,80,16,9,0,0,0,0,0,0,0,29,48,12,11,0,0,0,0,0,0,0,23,39,12,8,0,0,0,0,0,0,0,20,36,14,11,0,0,0,0,0,0,0,19,39,12,10,0,0,0,0,0,0,0,18,51,19,13,0,0,0,0,0,0,0,17,40,14,8,0,0,0,0,0,0,0,16,36,17,8,0,0,0,0,0,0,0,14,40,20,12,0,0,0,0,0,0,0,13,41,22,7,0,0,0,0,0,0,0,10,43,23,6,0,0,0,0,0,0,0,11,43,26,8,0,0,0,0,0,0,0,12,34,24,7,0,0,0,0,0,0,0,15,45,54,13,0,0,0,0,0,0,0,15,63,95,19,0,0,0,0,0,0,0,14,48,71,17,0,0,0,0,0,0,0,14,37,61,16,0,0,0,0,0,0,0,13,32,56,17,0,0,0,0,0,0,0,11,33,51,18,0,0,0,0,0,0,0,12,30,64,18,0,0,0,0,0,0,0,13,29,65,21,0,0,0,0,0,0,0,12,24,49,18,0,0,0,0,0,0,0,12,23,43,18,0,0,0
