Model Number;Layer Number;Gaussian Noise;Convolutional;Transpose Convolution;Filters;Kernel Size;Max Pooling Applied;Dropout rate;Number of Dense Nodes;Is Final Layer;Activation Function;Loss Function;Optimizer;Batch Size;Learning Rate;Momentum;Epochs;Final Training Accuracy;Final Validation Accuracy;Electron Efficiency;Pion Efficiency;nPions;nElectrons;P range;Scaling Strategy;Dataset Used
M9;1;;TRUE;;32;3x3;;;;;ReLU;Categorical Crossentropy;AdaDelta;32;0,01;;100;0,9;0,894;0,78;0,6;;;;;All data, Oversampled Electrons by n=nx2
M9;2;;TRUE;;64;3x3;TRUE;0,25;;;ReLU;Categorical Crossentropy;AdaDelta;32;0,01;;100;0,9;0,894;0,78;0,6;;;;;All data, Oversampled Electrons by n=nx2
M9;3;;;;;;;0,5;128;;ReLU;Categorical Crossentropy;AdaDelta;32;0,01;;100;0,9;0,894;0,78;0,6;;;;;All data, Oversampled Electrons by n=nx2
M9;4;;;;;;;;2;TRUE;SoftMax;Categorical Crossentropy;AdaDelta;32;0,01;;100;0,9;0,894;0,78;0,6;;;;;All data, Oversampled Electrons by n=nx2
M10;1;;TRUE;;32;3x3;;;;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,9125;0,9075;0,753;0,54;;;;;All data, Oversampled Electrons by n=nx2
M10;2;;TRUE;;64;3x3;TRUE;0,25;;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,9125;0,9075;0,753;0,54;;;;;All data, Oversampled Electrons by n=nx2
M10;3;;;;;;;0,5;128;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,9125;0,9075;0,753;0,54;;;;;All data, Oversampled Electrons by n=nx2
M10;4;;;;;;;;2;TRUE;SoftMax;Categorical Crossentropy;SGD;32;0,01;;100;0,9125;0,9075;0,753;0,54;;;;;All data, Oversampled Electrons by n=nx2
M11;1;;TRUE;;32;3x3;;;;;ReLU;Categorical Crossentropy;SGD;100000;0,01;;40;0,906;0,905;0,897;0,759;;;;;All data, Scaled as follows: x=x-mean(x)/sd(x)
M11;2;;TRUE;;64;3x3;;;;;ReLU;Categorical Crossentropy;SGD;100000;0,01;;40;0,906;0,905;0,897;0,759;;;;;All data, Scaled as follows: x=x-mean(x)/sd(x)
M11;3;;TRUE;;64;2x2;TRUE;0,25;;;ReLU;Categorical Crossentropy;SGD;100000;0,01;;40;0,906;0,905;0,897;0,759;;;;;All data, Scaled as follows: x=x-mean(x)/sd(x)
M11;4;;;;;;;0,5;256;;ReLU;Categorical Crossentropy;SGD;100000;0,01;;40;0,906;0,905;0,897;0,759;;;;;All data, Scaled as follows: x=x-mean(x)/sd(x)
M11;5;;;;;;;0,5;128;;ReLU;Categorical Crossentropy;SGD;100000;0,01;;40;0,906;0,905;0,897;0,759;;;;;All data, Scaled as follows: x=x-mean(x)/sd(x)
M11;6;;;;;;;0,5;128;;ReLU;Categorical Crossentropy;SGD;100000;0,01;;40;0,906;0,905;0,897;0,759;;;;;All data, Scaled as follows: x=x-mean(x)/sd(x)
M11;7;;;;;;;;2;TRUE;SoftMax;Categorical Crossentropy;SGD;100000;0,01;;40;0,906;0,905;0,897;0,759;;;;;All data, Scaled as follows: x=x-mean(x)/sd(x)
M12;1;;TRUE;;32;4x4;;;;;Tanh;Categorical Crossentropy;SGD;32;0,01;;100;0,55;0,535;0,9;0,89;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M12;2;;TRUE;;64;4x4;TRUE;;;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,55;0,535;0,9;0,89;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M12;3;;;;;;;;256;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,55;0,535;0,9;0,89;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M12;4;;;;;;;;256;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,55;0,535;0,9;0,89;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M12;5;;;;;;;;256;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,55;0,535;0,9;0,89;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M12;6;;;;;;;;256;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,55;0,535;0,9;0,89;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M12;7;;;;;;;;256;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,55;0,535;0,9;0,89;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M12;8;;;;;;;;256;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,55;0,535;0,9;0,89;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M12;9;;;;;;;;256;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,55;0,535;0,9;0,89;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M12;10;;;;;;;;256;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,55;0,535;0,9;0,89;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M12;11;;;;;;;;256;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,55;0,535;0,9;0,89;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M12;12;;;;;;;;256;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,55;0,535;0,9;0,89;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M12;13;;;;;;;;2;TRUE;SoftMax;Categorical Crossentropy;SGD;32;0,01;;100;0,55;0,535;0,9;0,89;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M13;1;;TRUE;;32;4x4;;;;;Tanh;Categorical Crossentropy;SGD;32;0,01;;100;0,9;0,51;0,9;0,9;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M13;2;;TRUE;;64;4x4;TRUE;;;;Tanh;Categorical Crossentropy;SGD;32;0,01;;100;0,9;0,51;0,9;0,9;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M13;3;;;;;;;;512;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,9;0,51;0,9;0,9;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M13;4;;;;;;;;512;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,9;0,51;0,9;0,9;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M13;5;;;;;;;;512;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,9;0,51;0,9;0,9;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M13;6;;;;;;;;512;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,9;0,51;0,9;0,9;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M13;7;;;;;;;;512;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,9;0,51;0,9;0,9;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M13;8;;;;;;;;512;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,9;0,51;0,9;0,9;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M13;9;;;;;;;;512;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,9;0,51;0,9;0,9;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M13;10;;;;;;;;512;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,9;0,51;0,9;0,9;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M13;11;;;;;;;;512;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,9;0,51;0,9;0,9;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M13;12;;;;;;;;512;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,9;0,51;0,9;0,9;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M13;13;;;;;;;;512;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,9;0,51;0,9;0,9;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M13;14;;;;;;;;512;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,9;0,51;0,9;0,9;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M13;15;;;;;;;;512;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,9;0,51;0,9;0,9;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M13;16;;;;;;;;512;;ReLU;Categorical Crossentropy;SGD;32;0,01;;100;0,9;0,51;0,9;0,9;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M13;17;;;;;;;;2;TRUE;SoftMax;Categorical Crossentropy;SGD;32;0,01;;100;0,9;0,51;0,9;0,9;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x-mean(x)/sd(x)
M14;1;;TRUE;;32;4x4;TRUE;;;;None;Categorical Crossentropy;SGD;32;0,01;0,9;50;0,62;0,56;0,9;0,88;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x/max(x)
M14;2;;TRUE;;64;4x4;TRUE;;;;None;Categorical Crossentropy;SGD;32;0,01;0,9;50;0,62;0,56;0,9;0,88;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x/max(x)
M14;3;;TRUE;;128;2x2;;;;;None;Categorical Crossentropy;SGD;32;0,01;0,9;50;0,62;0,56;0,9;0,88;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x/max(x)
M14;4;;;;;;;;256;;Tanh;Categorical Crossentropy;SGD;32;0,01;0,9;50;0,62;0,56;0,9;0,88;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x/max(x)
M14;5;;;;;;;;128;;Tanh;Categorical Crossentropy;SGD;32;0,01;0,9;50;0,62;0,56;0,9;0,88;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x/max(x)
M14;6;;;;;;;;128;;Tanh;Categorical Crossentropy;SGD;32;0,01;0,9;50;0,62;0,56;0,9;0,88;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x/max(x)
M14;7;;;;;;;;64;;Tanh;Categorical Crossentropy;SGD;32;0,01;0,9;50;0,62;0,56;0,9;0,88;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x/max(x)
M14;8;;;;;;;;32;;Tanh;Categorical Crossentropy;SGD;32;0,01;0,9;50;0,62;0,56;0,9;0,88;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x/max(x)
M14;9;;;;;;;;2;TRUE;SoftMax;Categorical Crossentropy;SGD;32;0,01;0,9;50;0,62;0,56;0,9;0,88;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x/max(x)
M15;1;;TRUE;;32;4x4;TRUE;;;;Tanh;Categorical Crossentropy;SGD;32;0,01;0,9;50;0,55;0,57;0,9;0,882;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x/max(x)
M15;2;;TRUE;;64;4x4;TRUE;;;;Tanh;Categorical Crossentropy;SGD;32;0,01;0,9;50;0,55;0,57;0,9;0,882;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x/max(x)
M15;3;;;;;;;;1024;;Tanh;Categorical Crossentropy;SGD;32;0,01;0,9;50;0,55;0,57;0,9;0,882;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x/max(x)
M15;4;;;;;;;;1024;;Tanh;Categorical Crossentropy;SGD;32;0,01;0,9;50;0,55;0,57;0,9;0,882;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x/max(x)
M15;5;;;;;;;;512;;ReLU;Categorical Crossentropy;SGD;32;0,01;0,9;50;0,55;0,57;0,9;0,882;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x/max(x)
M15;6;;;;;;;;512;;ReLU;Categorical Crossentropy;SGD;32;0,01;0,9;50;0,55;0,57;0,9;0,882;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x/max(x)
M15;7;;;;;;;;256;;ReLU;Categorical Crossentropy;SGD;32;0,01;0,9;50;0,55;0,57;0,9;0,882;;;;;All pions and an equal amount of electrons, Scaled as follows: x=x/max(x)
