Model Number;Layer Number;LSTM;LSTM Nodes;Go Backwards;Number of Dense Nodes;Dropout Rate;Activation Function;Optimizer;Batch Size;Learning Rate;Momentum;Epochs;Final Training Accuracy;Final Validation Accuracy;Electron Efficiency;Pion Efficiency;Dataset Used
M1;1;TRUE;128;FALSE;;;None;SGD;32;0,01;0,9;20;0,6;0,59;;;P <= 2 GeV, Downsampled Pions, 1207180 samples
M1;2;;;;128;;Tanh;SGD;32;0,01;0,9;20;0,6;0,59;;;P <= 2 GeV, Downsampled Pions, 1207180 samples
M1;3;;;;128;;Tanh;SGD;32;0,01;0,9;20;0,6;0,59;;;P <= 2 GeV, Downsampled Pions, 1207180 samples
M1;4;;;;2;;SoftMax;SGD;32;0,01;0,9;20;0,6;0,59;;;P <= 2 GeV, Downsampled Pions, 1207180 samples
M2;1;TRUE;128;FALSE;;;None;SGD;32;0,01;0,9;32;0,61;0,61;;;P <= 2 GeV, Downsampled Pions, 1207180 samples
M2;2;TRUE;128;TRUE;;;None;SGD;32;0,01;0,9;32;0,61;0,61;;;P <= 2 GeV, Downsampled Pions, 1207180 samples
M2;3;;;;128;;Tanh;SGD;32;0,01;0,9;32;0,61;0,61;;;P <= 2 GeV, Downsampled Pions, 1207180 samples
M2;4;;;;128;;Tanh;SGD;32;0,01;0,9;32;0,61;0,61;;;P <= 2 GeV, Downsampled Pions, 1207180 samples
M2;5;;;;2;;SoftMax;SGD;32;0,01;0,9;32;0,61;0,61;;;P <= 2 GeV, Downsampled Pions, 1207180 samples
M3;1;TRUE;128;FALSE;;;None;Adam;32;0,00001;;100;0,725;0,719;0,9;0,10557;Chamber Gain Corrected (transposed to 24,17), tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M3;2;;;;128;0,5;Tanh;Adam;32;0,00001;;100;0,725;0,719;0,9;0,10557;Chamber Gain Corrected (transposed to 24,17), tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M3;3;;;;128;0,5;Tanh;Adam;32;0,00001;;100;0,725;0,719;0,9;0,10557;Chamber Gain Corrected (transposed to 24,17), tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M3;4;;;;128;0,5;Tanh;Adam;32;0,00001;;100;0,725;0,719;0,9;0,10557;Chamber Gain Corrected (transposed to 24,17), tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M3;5;;;;128;0,5;Tanh;Adam;32;0,00001;;100;0,725;0,719;0,9;0,10557;Chamber Gain Corrected (transposed to 24,17), tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M3;6;;;;128;0,5;Tanh;Adam;32;0,00001;;100;0,725;0,719;0,9;0,10557;Chamber Gain Corrected (transposed to 24,17), tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M3;7;;;;1;;Sigmoid;Adam;32;0,00001;;100;0,725;0,719;0,9;0,10557;Chamber Gain Corrected (transposed to 24,17), tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M4;1;TRUE;128;FALSE;;;Tanh;Adam;32;0,00001;;100;0,735;0,7225;0,9;0,10496;Chamber Gain Corrected (transposed to 24,17), tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M4;2;TRUE;128;FALSE;;;Tanh;Adam;32;0,00001;;100;0,735;0,7225;0,9;0,10496;Chamber Gain Corrected (transposed to 24,17), tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M4;3;;;;128;0,5;Tanh;Adam;32;0,00001;;100;0,735;0,7225;0,9;0,10496;Chamber Gain Corrected (transposed to 24,17), tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M4;4;;;;128;0,5;Tanh;Adam;32;0,00001;;100;0,735;0,7225;0,9;0,10496;Chamber Gain Corrected (transposed to 24,17), tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M4;5;;;;128;0,5;Tanh;Adam;32;0,00001;;100;0,735;0,7225;0,9;0,10496;Chamber Gain Corrected (transposed to 24,17), tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
